"bill_bill_type","bill_billing_entity","bill_billing_period_end_date","bill_billing_period_start_date","bill_invoice_id","bill_invoicing_entity","bill_payer_account_id","bill_payer_account_name","cost_category","discount","discount_bundled_discount","discount_total_discount","identity_line_item_id","identity_time_interval","line_item_availability_zone","line_item_blended_cost","line_item_blended_rate","line_item_currency_code","line_item_legal_entity","line_item_line_item_description","line_item_line_item_type","line_item_net_unblended_cost","line_item_net_unblended_rate","line_item_normalization_factor","line_item_normalized_usage_amount","line_item_operation","line_item_product_code","line_item_resource_id","line_item_tax_type","line_item_unblended_cost","line_item_unblended_rate","line_item_usage_account_id","line_item_usage_account_name","line_item_usage_amount","line_item_usage_end_date","line_item_usage_start_date","line_item_usage_type","line_item_user_identifier","pricing_currency","pricing_lease_contract_length","pricing_offering_class","pricing_public_on_demand_cost","pricing_public_on_demand_rate","pricing_purchase_option","pricing_rate_code","pricing_rate_id","pricing_term","pricing_unit","product","product_comment","product_fee_code","product_fee_description","product_from_location","product_from_location_type","product_from_region_code","product_instance_family","product_instance_type","product_instancesku","product_location","product_location_type","product_operation","product_pricing_unit","product_product_family","product_region_code","product_servicecode","product_sku","product_to_location","product_to_location_type","product_to_region_code","product_usagetype","reservation_amortized_upfront_cost_for_usage","reservation_amortized_upfront_fee_for_billing_period","reservation_availability_zone","reservation_effective_cost","reservation_end_time","reservation_modification_status","reservation_net_amortized_upfront_cost_for_usage","reservation_net_amortized_upfront_fee_for_billing_period","reservation_net_effective_cost","reservation_net_recurring_fee_for_usage","reservation_net_unused_amortized_upfront_fee_for_billing_period","reservation_net_unused_recurring_fee","reservation_net_upfront_value","reservation_normalized_units_per_reservation","reservation_number_of_reservations","reservation_recurring_fee_for_usage","reservation_reservation_a_r_n","reservation_start_time","reservation_subscription_id","reservation_total_reserved_normalized_units","reservation_total_reserved_units","reservation_units_per_reservation","reservation_unused_amortized_upfront_fee_for_billing_period","reservation_unused_normalized_unit_quantity","reservation_unused_quantity","reservation_unused_recurring_fee","reservation_upfront_value","resource_tags","savings_plan_amortized_upfront_commitment_for_billing_period","savings_plan_end_time","savings_plan_instance_type_family","savings_plan_net_amortized_upfront_commitment_for_billing_period","savings_plan_net_recurring_commitment_for_billing_period","savings_plan_net_savings_plan_effective_cost","savings_plan_offering_type","savings_plan_payment_option","savings_plan_purchase_term","savings_plan_recurring_commitment_for_billing_period","savings_plan_region","savings_plan_savings_plan_a_r_n","savings_plan_savings_plan_effective_cost","savings_plan_savings_plan_rate","savings_plan_start_time","savings_plan_total_commitment_to_date","savings_plan_used_commitment","tags","billing_period"
"Anniversary","AWS","2026-03-01 00:00:00.000","2026-02-01 00:00:00.000",,"Amazon Web Services EMEA SARL","194636598053","Alwende","{}","{}",,,"twngu7aev3r7hycjggi56acxhyio2nbipblfvx5qck6qia3b4vjq","2026-02-10T00:00:00Z/2026-02-11T00:00:00Z",,"0.0",,"USD","Amazon Web Services EMEA SARL","Tax for product code AWSApplicationMigrationSvc","Tax",,,"0.0","0.0",,"AWSApplicationMigrationSvc",,"VAT","0.0",,"194636598053","Alwende","1.0","2026-03-01 00:00:00.000","2026-02-10 15:01:03.000",,,,,,"0.0",,,,,,,"{product_name=AWS Application Migration Service}",,,,,,,,,,,,,,,,,,,,,,"0.0","0.0",,"0.0",,,,,,,,,,"","","0.0",,,,"","","","0.0","0.0","0.0","0.0","0.0","{}","0.0",,,,,,,,,"0.0",,,"0.0","0.0",,"0.0","0.0","{}","2026-02"
"Anniversary","AWS","2026-03-01 00:00:00.000","2026-02-01 00:00:00.000",,"Amazon Web Services EMEA SARL","194636598053","Alwende","{}","{}",,,"35olcn3462sq2vpv4dk7p6wws2xfb6xmgjx2rczf7h7do32wrjrq","2026-02-10T00:00:00Z/2026-02-11T00:00:00Z",,"0.0",,"USD","Amazon Web Services EMEA SARL","Tax for product code AWSDataTransfer","Tax",,,"0.0","0.0",,"AWSDataTransfer",,"VAT","0.0",,"194636598053","Alwende","1.0","2026-03-01 00:00:00.000","2026-02-10 15:01:03.000",,,,,,"0.0",,,,,,,"{product_name=AWS Data Transfer}",,,,,,,,,,,,,,,,,,,,,,"0.0","0.0",,"0.0",,,,,,,,,,"","","0.0",,,,"","","","0.0","0.0","0.0","0.0","0.0","{}","0.0",,,,,,,,,"0.0",,,"0.0","0.0",,"0.0","0.0","{}","2026-02"
"Anniversary","AWS","2026-03-01 00:00:00.000","2026-02-01 00:00:00.000",,"Amazon Web Services EMEA SARL","194636598053","Alwende","{}","{}",,,"2e7tyfhe7sh7dmdjl74roef57dppr2mtqwumxg2iwaztczor7tdq","2026-02-10T00:00:00Z/2026-02-11T00:00:00Z",,"0.0",,"USD","Amazon Web Services EMEA SARL","Tax for product code AWSGlue","Tax",,,"0.0","0.0",,"AWSGlue",,"VAT","0.0",,"194636598053","Alwende","1.0","2026-03-01 00:00:00.000","2026-02-10 15:01:03.000",,,,,,"0.0",,,,,,,"{product_name=AWS Glue}",,,,,,,,,,,,,,,,,,,,,,"0.0","0.0",,"0.0",,,,,,,,,,"","","0.0",,,,"","","","0.0","0.0","0.0","0.0","0.0","{}","0.0",,,,,,,,,"0.0",,,"0.0","0.0",,"0.0","0.0","{}","2026-02"
"Anniversary","AWS","2026-03-01 00:00:00.000","2026-02-01 00:00:00.000",,"Amazon Web Services EMEA SARL","194636598053","Alwende","{}","{}",,,"s2cks2lftnjim7uq4nkgpxmxgpgtubzizjdq7u67rjermu2m7mja","2026-02-10T00:00:00Z/2026-02-11T00:00:00Z",,"0.0",,"USD","Amazon Web Services EMEA SARL","Tax for product code awskms","Tax",,,"0.0","0.0",,"awskms",,"VAT","0.0",,"194636598053","Alwende","1.0","2026-03-01 00:00:00.000","2026-02-10 15:01:03.000",,,,,,"0.0",,,,,,,"{product_name=AWS Key Management Service}",,,,,,,,,,,,,,,,,,,,,,"0.0","0.0",,"0.0",,,,,,,,,,"","","0.0",,,,"","","","0.0","0.0","0.0","0.0","0.0","{}","0.0",,,,,,,,,"0.0",,,"0.0","0.0",,"0.0","0.0","{}","2026-02"
"Anniversary","AWS","2026-03-01 00:00:00.000","2026-02-01 00:00:00.000",,"Amazon Web Services EMEA SARL","194636598053","Alwende","{}","{}",,,"nh6cv2tofax6kzfrakluzu6cex5df6ogyz5cqahmx65odwat3rda","2026-02-10T00:00:00Z/2026-02-11T00:00:00Z",,"0.0",,"USD","Amazon Web Services EMEA SARL","Tax for product code AWSLambda","Tax",,,"0.0","0.0",,"AWSLambda",,"VAT","0.0",,"194636598053","Alwende","1.0","2026-03-01 00:00:00.000","2026-02-10 15:01:03.000",,,,,,"0.0",,,,,,,"{product_name=AWS Lambda}",,,,,,,,,,,,,,,,,,,,,,"0.0","0.0",,"0.0",,,,,,,,,,"","","0.0",,,,"","","","0.0","0.0","0.0","0.0","0.0","{}","0.0",,,,,,,,,"0.0",,,"0.0","0.0",,"0.0","0.0","{}","2026-02"
"Anniversary","AWS","2026-03-01 00:00:00.000","2026-02-01 00:00:00.000",,"Amazon Web Services EMEA SARL","194636598053","Alwende","{}","{}",,,"a6oypfvbzgj2r7qax4y27mua2dtazeej6atfvwvurmajet5ymqrq","2026-02-10T00:00:00Z/2026-02-11T00:00:00Z",,"0.0",,"USD","Amazon Web Services EMEA SARL","Tax for product code AWSSecretsManager","Tax",,,"0.0","0.0",,"AWSSecretsManager",,"VAT","0.0",,"194636598053","Alwende","1.0","2026-03-01 00:00:00.000","2026-02-10 15:01:03.000",,,,,,"0.0",,,,,,,"{product_name=AWS Secrets Manager}",,,,,,,,,,,,,,,,,,,,,,"0.0","0.0",,"0.0",,,,,,,,,,"","","0.0",,,,"","","","0.0","0.0","0.0","0.0","0.0","{}","0.0",,,,,,,,,"0.0",,,"0.0","0.0",,"0.0","0.0","{}","2026-02"
"Anniversary","AWS","2026-03-01 00:00:00.000","2026-02-01 00:00:00.000",,"Amazon Web Services EMEA SARL","194636598053","Alwende","{}","{}",,,"a2z4rhx6ewd7aoovdu6ubayqr7xsfzml33wgeqwz3vrztqxkbbiq","2026-02-10T00:00:00Z/2026-02-11T00:00:00Z",,"0.0",,"USD","Amazon Web Services EMEA SARL","Tax for product code AmazonCloudFront","Tax",,,"0.0","0.0",,"AmazonCloudFront",,"VAT","0.0",,"194636598053","Alwende","1.0","2026-03-01 00:00:00.000","2026-02-10 15:01:07.000",,,,,,"0.0",,,,,,,"{product_name=Amazon CloudFront}",,,,,,,,,,,,,,,,,,,,,,"0.0","0.0",,"0.0",,,,,,,,,,"","","0.0",,,,"","","","0.0","0.0","0.0","0.0","0.0","{}","0.0",,,,,,,,,"0.0",,,"0.0","0.0",,"0.0","0.0","{}","2026-02"
"Anniversary","AWS","2026-03-01 00:00:00.000","2026-02-01 00:00:00.000",,"Amazon Web Services EMEA SARL","194636598053","Alwende","{}","{}",,,"ypog4g2y657yzphhi7oeriwagna4wnxptj3jgydlsczitgqhygaa","2026-02-10T00:00:00Z/2026-02-11T00:00:00Z",,"0.0",,"USD","Amazon Web Services EMEA SARL","Tax for product code AmazonDynamoDB","Tax",,,"0.0","0.0",,"AmazonDynamoDB",,"VAT","0.0",,"194636598053","Alwende","1.0","2026-03-01 00:00:00.000","2026-02-10 15:01:03.000",,,,,,"0.0",,,,,,,"{product_name=Amazon DynamoDB}",,,,,,,,,,,,,,,,,,,,,,"0.0","0.0",,"0.0",,,,,,,,,,"","","0.0",,,,"","","","0.0","0.0","0.0","0.0","0.0","{}","0.0",,,,,,,,,"0.0",,,"0.0","0.0",,"0.0","0.0","{}","2026-02"
"Anniversary","AWS","2026-03-01 00:00:00.000","2026-02-01 00:00:00.000",,"Amazon Web Services EMEA SARL","194636598053","Alwende","{}","{}",,,"7yxkbsmcpzgt7qiizjpuzsejvhqji4h2v2t7ck2owrunlxazd56a","2026-02-10T00:00:00Z/2026-02-11T00:00:00Z",,"0.0",,"USD","Amazon Web Services EMEA SARL","Tax for product code AmazonEC2","Tax",,,"0.0","0.0",,"AmazonEC2",,"VAT","0.0",,"194636598053","Alwende","1.0","2026-03-01 00:00:00.000","2026-02-10 15:01:07.000",,,,,,"0.0",,,,,,,"{product_name=Amazon Elastic Compute Cloud}",,,,,,,,,,,,,,,,,,,,,,"0.0","0.0",,"0.0",,,,,,,,,,"","","0.0",,,,"","","","0.0","0.0","0.0","0.0","0.0","{}","0.0",,,,,,,,,"0.0",,,"0.0","0.0",,"0.0","0.0","{}","2026-02"
"Anniversary","AWS","2026-03-01 00:00:00.000","2026-02-01 00:00:00.000",,"Amazon Web Services EMEA SARL","194636598053","Alwende","{}","{}",,,"kthssbwn4uq6mi6itlwdq5dzpa5jxyxmbnwowrbb5xprda5a5koq","2026-02-10T00:00:00Z/2026-02-11T00:00:00Z",,"0.0",,"USD","Amazon Web Services EMEA SARL","Tax for product code AmazonSNS","Tax",,,"0.0","0.0",,"AmazonSNS",,"VAT","0.0",,"194636598053","Alwende","1.0","2026-03-01 00:00:00.000","2026-02-10 15:01:03.000",,,,,,"0.0",,,,,,,"{product_name=Amazon Simple Notification Service}",,,,,,,,,,,,,,,,,,,,,,"0.0","0.0",,"0.0",,,,,,,,,,"","","0.0",,,,"","","","0.0","0.0","0.0","0.0","0.0","{}","0.0",,,,,,,,,"0.0",,,"0.0","0.0",,"0.0","0.0","{}","2026-02"
